ts_code,trade_date,open,high,low,close,vol,amount
600519.SH,20251223,1408.26,1412.93,1397.19,1407.86,24506.81,3445377.032
600519.SH,20251224,1404.99,1406.36,1400.0,1400.9,25186.69,3533253.565
600519.SH,20251225,1405.0,1419.48,1401.38,1414.17,23386.21,3299572.096
600519.SH,20251226,1414.17,1419.14,1410.0,1414.13,17802.99,2520605.635
600519.SH,20251229,1414.13,1414.13,1401.0,1402.0,26308.1,3694660.107
600519.SH,20251230,1401.0,1401.9,1386.0,1389.72,33791.94,4702489.813
600519.SH,20251231,1390.0,1394.0,1377.17,1377.18,34765.63,4799456.452
600519.SH,20260105,1385.0,1431.88,1385.0,1426.0,70949.42,10018086.372
600519.SH,20260106,1432.55,1436.97,1416.53,1428.01,39586.18,5649710.153
600519.SH,20260107,1432.88,1435.0,1420.2,1423.36,29683.8,4234255.286
600519.SH,20260108,1423.33,1423.36,1408.14,1412.3,29134.54,4117925.041
600519.SH,20260109,1417.0,1428.6,1416.01,1419.1,29847.74,4243865.418
600519.SH,20260112,1419.1,1431.0,1417.1,1423.23,36082.66,5135636.033
600519.SH,20260113,1426.79,1429.52,1408.99,1411.0,39168.66,5555633.779
600519.SH,20260114,1411.0,1422.25,1396.18,1398.01,51757.97,7285041.159
600519.SH,20260115,1396.02,1402.83,1388.58,1388.89,40907.14,5698739.671
600519.SH,20260116,1395.0,1397.5,1380.0,1382.0,55120.68,7643061.998
600519.SH,20260119,1381.9,1387.49,1375.0,1376.0,42286.4,5833745.442
600519.SH,20260120,1379.5,1381.58,1372.05,1373.55,36484.43,5021900.765
600519.SH,20260121,1373.56,1374.4,1350.0,1351.06,64516.25,8775880.803
600519.SH,20260122,1352.01,1361.76,1337.48,1340.06,59010.89,7962441.434
600519.SH,20260123,1340.1,1348.0,1332.47,1337.0,61948.9,8301311.489
600519.SH,20260126,1340.51,1355.0,1325.12,1342.0,80166.06,10751225.525
600519.SH,20260127,1344.98,1353.7,1338.0,1343.01,48415.96,6514513.216
600519.SH,20260128,1343.04,1346.71,1322.01,1323.69,76218.01,10135019.524
600519.SH,20260129,1335.0,1445.0,1329.06,1437.72,189534.4,26305591.086
600519.SH,20260130,1435.0,1435.0,1401.0,1401.0,94479.74,13366329.414
600519.SH,20260202,1425.0,1458.58,1411.62,1427.0,85724.27,12312646.443
600519.SH,20260203,1445.0,1476.81,1443.03,1474.92,86320.66,12628439.703
600519.SH,20260204,1485.0,1533.27,1474.0,1525.0,109122.93,16444345.98
600519.SH,20260205,1520.0,1565.0,1515.0,1555.0,91622.74,14183456.476
600519.SH,20260206,1555.0,1568.0,1505.88,1515.01,78965.38,12019878.669
600519.SH,20260209,1518.0,1542.88,1513.49,1524.96,51168.46,7809067.705
600519.SH,20260210,1524.97,1524.97,1496.5,1504.8,39575.96,5953269.321
600519.SH,20260211,1504.8,1514.0,1496.0,1504.33,30928.46,4648360.03
600519.SH,20260212,1500.2,1502.82,1473.36,1486.6,46245.82,6874370.113
600519.SH,20260213,1486.6,1507.8,1470.58,1485.3,41679.01,6216379.203
600519.SH,20260224,1521.0,1524.4,1463.6,1466.8,41912.53,6198840.572
600519.SH,20260225,1470.0,1509.66,1467.88,1491.66,36880.67,5490316.149
